CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
23-000003,-14.51,175.53,158.12,-0.54,-1.91,1.37,Gusev,-14.82,176.45,alluvial fan,90,eHv,Early Hesperian volcanic unit,"Grin and Cabrol, 1997; Cabrol and Grin (1999; 2001"
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.27,138.25,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.24,138.04,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.2,137.56,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.21,137.4,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.22,138.2,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.38,138.32,alluvial fan,22.5,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.41,137.26,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.94,136.76,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-5.97,138.23,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,Cabrol and Grin (2001)
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.23,138.13,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-6.1,137.73,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,this paper 
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.23,137.51,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,this paper 
23-000004,-5.37,137.81,154.08,0.34,-4.38,4.72,Gale,-4.24,137.79,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,this paper 
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.14,166.63,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.13,166.44,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.13,166.58,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.3,166.89,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.43,167.04,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.67,165.91,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-24.59,167.05,alluvial fan,67.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
